SSH key found in project metadata; not updating instance.
SSH: Attempting to connect to worker 0...
SSH: Attempting to connect to worker 1...
SSH: Attempting to connect to worker 2...
SSH: Attempting to connect to worker 3...
Hardware: 16 devices across 4 processes. Platform: tpu
AST Zero-Transcendental Audit: PASS
Distributed Mesh Topology: OrderedDict([('data', 2), ('fsdp', 2), ('model', 4)])

==================== Starting Pretraining: StandardTransformerLM (100000 steps) ====================
[StandardTransformerLM] Step  61000/100000 | Loss: 3.1082 | Grad Norm: 0.344 | Throughput: 2,478,884 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  61500/100000 | Loss: 3.0513 | Grad Norm: 0.336 | Throughput: 2,481,745 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  62000/100000 | Loss: 3.0184 | Grad Norm: 0.349 | Throughput: 2,480,399 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  62500/100000 | Loss: 3.1205 | Grad Norm: 0.336 | Throughput: 2,478,103 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  63000/100000 | Loss: 3.1236 | Grad Norm: 0.333 | Throughput: 2,482,171 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  63500/100000 | Loss: 3.0963 | Grad Norm: 0.339 | Throughput: 2,484,138 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  64000/100000 | Loss: 3.1233 | Grad Norm: 0.329 | Throughput: 2,481,221 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  64500/100000 | Loss: 3.0560 | Grad Norm: 0.337 | Throughput: 2,481,561 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  65000/100000 | Loss: 3.0910 | Grad Norm: 0.335 | Throughput: 2,483,590 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  65500/100000 | Loss: 3.1381 | Grad Norm: 0.342 | Throughput: 2,483,338 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  66000/100000 | Loss: 3.0262 | Grad Norm: 0.351 | Throughput: 2,481,060 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  66500/100000 | Loss: 3.1035 | Grad Norm: 0.347 | Throughput: 2,479,712 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  67000/100000 | Loss: 2.8963 | Grad Norm: 0.329 | Throughput: 2,477,949 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  67500/100000 | Loss: 3.0464 | Grad Norm: 0.341 | Throughput: 2,483,788 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  68000/100000 | Loss: 3.0780 | Grad Norm: 0.345 | Throughput: 2,482,020 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  68500/100000 | Loss: 2.9912 | Grad Norm: 0.355 | Throughput: 2,474,867 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  69000/100000 | Loss: 3.0867 | Grad Norm: 0.340 | Throughput: 2,480,300 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  69500/100000 | Loss: 3.0316 | Grad Norm: 0.345 | Throughput: 2,482,258 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  70000/100000 | Loss: 3.0631 | Grad Norm: 0.347 | Throughput: 2,478,410 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  70500/100000 | Loss: 3.0894 | Grad Norm: 0.351 | Throughput: 2,480,825 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  71000/100000 | Loss: 3.0488 | Grad Norm: 0.348 | Throughput: 2,476,787 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  71500/100000 | Loss: 3.0804 | Grad Norm: 0.344 | Throughput: 2,474,163 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  72000/100000 | Loss: 3.0086 | Grad Norm: 0.345 | Throughput: 2,473,746 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  72500/100000 | Loss: 2.9878 | Grad Norm: 0.349 | Throughput: 2,475,825 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  73000/100000 | Loss: 2.9890 | Grad Norm: 0.356 | Throughput: 2,476,450 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  73500/100000 | Loss: 2.8783 | Grad Norm: 0.362 | Throughput: 2,471,819 tok/s | Step time: 13.3ms
[StandardTransformerLM] Step  74000/100000 | Loss: 3.0044 | Grad Norm: 0.353 | Throughput: 2,480,029 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  74500/100000 | Loss: 3.0806 | Grad Norm: 0.350 | Throughput: 2,478,514 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  75000/100000 | Loss: 3.1473 | Grad Norm: 0.347 | Throughput: 2,478,065 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  75500/100000 | Loss: 2.9869 | Grad Norm: 0.347 | Throughput: 2,476,070 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  76000/100000 | Loss: 3.0380 | Grad Norm: 0.350 | Throughput: 2,476,842 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  76500/100000 | Loss: 3.0546 | Grad Norm: 0.337 | Throughput: 2,477,312 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  77000/100000 | Loss: 3.1125 | Grad Norm: 0.350 | Throughput: 2,477,404 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  77500/100000 | Loss: 3.1376 | Grad Norm: 0.363 | Throughput: 2,478,439 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  78000/100000 | Loss: 3.0061 | Grad Norm: 0.347 | Throughput: 2,475,213 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  78500/100000 | Loss: 2.9533 | Grad Norm: 0.350 | Throughput: 2,476,950 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  79000/100000 | Loss: 2.9826 | Grad Norm: 0.348 | Throughput: 2,478,366 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  79500/100000 | Loss: 3.0887 | Grad Norm: 0.353 | Throughput: 2,472,384 tok/s | Step time: 13.3ms
[StandardTransformerLM] Step  80000/100000 | Loss: 3.1361 | Grad Norm: 0.361 | Throughput: 2,477,886 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  80500/100000 | Loss: 3.1161 | Grad Norm: 0.350 | Throughput: 2,477,659 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  81000/100000 | Loss: 2.9964 | Grad Norm: 0.356 | Throughput: 2,475,997 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  81500/100000 | Loss: 3.1878 | Grad Norm: 0.352 | Throughput: 2,478,926 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  82000/100000 | Loss: 3.1690 | Grad Norm: 0.361 | Throughput: 2,472,640 tok/s | Step time: 13.3ms
